Probe	Chromosome	Start	End	Feature
Chr2:152686786-152686786	2	152686786	152686786	H13
Chr2:152686810-152686810	2	152686810	152686810	H13
Chr2:152686813-152686813	2	152686813	152686813	H13
Chr2:152686844-152686844	2	152686844	152686844	H13
Chr2:152686854-152686854	2	152686854	152686854	H13
Chr2:152686873-152686873	2	152686873	152686873	H13
Chr2:152686875-152686875	2	152686875	152686875	H13
Chr2:152686882-152686882	2	152686882	152686882	H13
Chr2:152686884-152686884	2	152686884	152686884	H13
Chr2:152686889-152686889	2	152686889	152686889	H13
Chr2:152686891-152686891	2	152686891	152686891	H13
Chr2:152686893-152686893	2	152686893	152686893	H13
Chr2:152686904-152686904	2	152686904	152686904	H13
Chr2:152686914-152686914	2	152686914	152686914	H13
Chr2:152686927-152686927	2	152686927	152686927	H13
Chr2:152686931-152686931	2	152686931	152686931	H13
Chr2:152686933-152686933	2	152686933	152686933	H13
Chr2:152686958-152686958	2	152686958	152686958	H13
Chr2:174295708-174295708	2	174295708	174295708	Gnas
Chr2:174295728-174295728	2	174295728	174295728	Gnas
Chr2:174295746-174295746	2	174295746	174295746	Gnas
Chr2:174295752-174295752	2	174295752	174295752	Gnas
Chr2:174295760-174295760	2	174295760	174295760	Gnas
Chr2:174295815-174295815	2	174295815	174295815	Gnas
Chr2:174295821-174295821	2	174295821	174295821	Gnas
Chr2:174295848-174295848	2	174295848	174295848	Gnas
Chr2:174295900-174295900	2	174295900	174295900	Gnas
Chr2:174295902-174295902	2	174295902	174295902	Gnas
Chr3:34649370-34649370	3	34649370	34649370	Sox2
Chr3:34649383-34649383	3	34649383	34649383	Sox2
Chr3:34649388-34649388	3	34649388	34649388	Sox2
Chr3:34649396-34649396	3	34649396	34649396	Sox2
Chr3:34649411-34649411	3	34649411	34649411	Sox2
Chr3:34649421-34649421	3	34649421	34649421	Sox2
Chr3:34649442-34649442	3	34649442	34649442	Sox2
Chr3:34649480-34649480	3	34649480	34649480	Sox2
Chr3:34649503-34649503	3	34649503	34649503	Sox2
Chr3:34649511-34649511	3	34649511	34649511	Sox2
Chr3:34649519-34649519	3	34649519	34649519	Sox2
Chr3:34649521-34649521	3	34649521	34649521	Sox2
Chr3:34649529-34649529	3	34649529	34649529	Sox2
Chr3:34649554-34649554	3	34649554	34649554	Sox2
Chr4:55530381-55530381	4	55530381	55530381	Klf4
Chr4:55530398-55530398	4	55530398	55530398	Klf4
Chr4:55530420-55530420	4	55530420	55530420	Klf4
Chr4:55530449-55530449	4	55530449	55530449	Klf4
Chr4:55530459-55530459	4	55530459	55530459	Klf4
